Customer login,2022-05-23 03:19:40
Show customer details,2022-05-23 03:19:47
Show restaurant details,2022-05-23 03:19:50
Show restaurant promotions,2022-05-23 03:19:52
Display product list,2022-05-23 03:19:56
Create order,2022-05-23 03:20:18
Show customer's order history,2022-05-23 03:20:21
Customer login,2022-05-23 03:33:52
Show customer's order history,2022-05-23 03:33:53
Customer login,2022-05-23 03:34:14
Show customer's order history,2022-05-23 03:34:17
Customer login,2022-05-23 03:36:55
Show customer's order history,2022-05-23 03:37:14
Customer login,2022-05-23 08:37:09
Customer login,2022-05-23 08:37:24
Customer login,2022-05-23 08:37:36
Create order,2022-05-23 08:37:59
Show customer's order history,2022-05-23 08:38:02
